timeSeries,lon,lat
"1749",-153.72548,57.3429
"1750",-153.15942,57.340343
"1751",-153.10925,57.34895
"1752",-153.0593,57.34858
"1753",-153.026,57.34832
"1754",-153.00935,57.348186
"1755",-152.9261,57.347492
"1756",-152.90945,57.347347
"1757",-152.87643,57.338093
"1758",-152.62677,57.335567
"1773",-154.74146,57.358894
"1774",-153.77536,57.351955
"1775",-153.7254,57.351856
"1776",-153.1259,57.349068
"1777",-152.99245,57.35701
"1778",-152.94275,57.347633
"1779",-152.89252,57.35615
"1780",-152.8595,57.346893
"1781",-152.62642,57.34452
"1797",-154.75812,57.35879
"1798",-153.72534,57.360813
"1799",-153.15878,57.36721
"1800",-153.10902,57.357906
"1801",-152.97554,57.365826
"1802",-152.87558,57.364956
"1803",-152.84285,57.34674
"1804",-152.62608,57.353477
"1823",-154.7583,57.36775
"1824",-154.70815,57.35909
"1825",-154.67484,57.359276
"1826",-153.77531,57.360912
"1827",-153.74193,57.369804
"1828",-153.1419,57.376053
"1829",-152.84198,57.373604
"1830",-152.60873,57.371197
"1831",-152.59207,57.37101
"1846",-154.74165,57.367847
"1847",-154.72499,57.367947
"1848",-154.67534,57.386143
"1849",-153.72513,57.387684
"1850",-152.57541,57.37082
"1851",-152.27515,57.37595
"1868",-154.7585,57.376705
"1869",-154.69202,57.38605
"1870",-153.79187,57.378857
"1871",-153.74173,57.396675
"1872",-152.59172,57.379963
"1873",-152.25806,57.38467
"1887",-154.6755,57.3951
"1888",-153.80849,57.38784
"1889",-153.7584,57.39671
"1890",-152.59137,57.38892
"1891",-152.27472,57.384903
"1916",-154.67567,57.404057
"1917",-153.80838,57.40575
"1918",-153.75829,57.41462
"1919",-152.27428,57.393856
"1920",-152.24095,57.393387
"1943",-154.659,57.404144
"1944",-153.85843,57.40582
"1945",-153.82506,57.405777
"1946",-153.77496,57.414654
"1947",-152.60733,57.407017
"1981",-154.65933,57.42206
"1982",-153.77492,57.423607
"1983",-152.25717,57.402576
"2015",-154.65967,57.43997
"2016",-153.85835,57.423733
"2017",-153.77486,57.432564
"2018",-152.64035,57.41634
"2019",-152.62366,57.416157
"2020",-152.60698,57.41597
"2043",-154.69305,57.439785
"2044",-153.89168,57.441677
"2045",-153.80815,57.45053
"2046",-153.79144,57.450504
"2047",-152.69006,57.425835
"2048",-152.67337,57.42566
"2049",-152.6567,57.42548
"2050",-152.43901,57.44084
"2051",-152.32217,57.439312
"2074",-154.67653,57.448833
"2075",-153.89165,57.450634
"2076",-153.82484,57.450558
"2077",-152.72311,57.43514
"2078",-152.4557,57.44105
"2079",-152.35515,57.44871
"2103",-156.04636,57.451687
"2104",-154.66,57.45788
"2105",-153.89162,57.45959
"2106",-153.84146,57.46849
"2107",-152.70576,57.452873
"2108",-152.5054,57.45062
"2109",-152.48833,57.45937
"2110",-152.45532,57.450005
"2111",-152.40483,57.45832
"2112",-152.38814,57.458107
"2113",-152.37143,57.457886
"2114",-152.33804,57.457443
"2115",-152.30507,57.448036
"2132",-156.03017,57.460915
"2133",-156.01347,57.461185
"2134",-155.99678,57.461456
"2135",-154.6433,57.457966
"2136",-153.85817,57.46851
"2137",-152.52136,57.468727
"2138",-152.50465,57.468525
"2139",-152.42152,57.458534
"2140",-152.32133,57.45722
"2170",-154.62675,57.467007
"2171",-153.84143,57.477448
"2172",-152.98889,57.48238
"2173",-152.73885,57.462173
"2174",-152.63795,57.47902
"2175",-152.53769,57.47788
"2176",-152.47086,57.47707
"2177",-152.42113,57.467487
"2178",-152.30421,57.465942
"2201",-154.6102,57.476048
"2202",-153.90825,57.48647
"2203",-153.84134,57.495358
"2204",-152.93875,57.48196
"2205",-152.88861,57.48152
"2206",-152.75523,57.471294
"2207",-152.73853,57.471127
"2208",-152.65466,57.479202
"2209",-152.6209,57.48779
"2210",-152.5711,57.478268
"2211",-152.45377,57.485817
"2212",-152.43704,57.485607
"2213",-152.3205,57.475124
"2237",-155.99728,57.47041
"2238",-154.6105,57.493958
"2239",-153.85806,57.495377
"2240",-152.93822,57.49987
"2241",-152.92204,57.481815
"2242",-152.90479,57.49958
"2243",-152.88806,57.49943
"2244",-152.8719,57.48137
"2245",-152.8552,57.481216
"2246",-152.83849,57.48106
"2247",-152.82176,57.480904
"2248",-152.80505,57.480743
"2249",-152.78835,57.480583
"2250",-152.75493,57.48025
"2251",-152.6707,57.49729
"2252",-152.62054,57.496742
"2253",-152.58711,57.496365
"2254",-152.31964,57.49303
"2273",-156.03119,57.478817
"2274",-154.61066,57.50291
"2275",-153.9082,57.50438
"2276",-153.85803,57.504333
"2277",-152.68709,57.506424
"2297",-156.03221,57.49672
"2298",-154.59393,57.502995
"2299",-153.90819,57.513336
"2300",-153.858,57.51329
"2301",-152.88777,57.508385
"2302",-152.80385,57.51656
"2303",-152.78712,57.5164
"2304",-152.7704,57.51623
"2305",-152.70381,57.5066
"2306",-152.28578,57.501526
"2333",-156.03273,57.505672
"2334",-154.59424,57.520905
"2335",-153.90816,57.522293
"2336",-153.85796,57.522243
"2337",-152.87048,57.526142
"2338",-152.82059,57.51672
"2339",-152.75336,57.52502
"2340",-152.73662,57.52485
"2341",-152.7199,57.524677
"2342",-152.30208,57.510708
"2363",-156.03323,57.51462
"2364",-154.56091,57.530014
"2365",-153.90814,57.531246
"2366",-153.84119,57.531178
"2367",-152.85345,57.534943
"2368",-152.83673,57.534786
"2369",-152.80325,57.534466
"2370",-152.28448,57.52838
"2389",-156.03375,57.523575
"2390",-154.56105,57.538967
"2391",-153.90811,57.540203
"2392",-153.8244,57.54011
"2393",-152.2506,57.536865
"2414",-156.03427,57.532524
"2415",-154.54431,57.539043
"2416",-154.52757,57.539116
"2417",-154.49408,57.539253
"2418",-154.04207,57.549183
"2419",-154.00856,57.540237
"2420",-153.99182,57.540237
"2421",-153.95833,57.549183
"2422",-153.84111,57.54909
"2423",-153.67372,57.539806
"2424",-153.64015,57.548668
"2425",-152.28363,57.546284
"2426",-152.23341,57.54558
"2449",-154.49434,57.557163
"2450",-154.00858,57.5671
"2451",-153.95831,57.567093
"2452",-153.94159,57.54918
"2453",-153.92484,57.549168
"2454",-153.9081,57.549156
"2455",-153.84106,57.558044
"2456",-153.74063,57.54892
"2457",-153.72388,57.548885
"2458",-153.70714,57.548847
"2459",-153.69023,57.566715
"2460",-153.65681,57.55767
"2479",-156.01855,57.550697
"2480",-155.9186,57.56124
"2481",-155.90184,57.5615
"2482",-155.85161,57.56226
"2483",-155.75113,57.563717
"2484",-154.4777,57.56618
"2485",-153.82431,57.55802
"2486",-153.75731,57.55791
"2487",-153.70691,57.57571
"2488",-152.23296,57.554535
"2489",-152.19902,57.563004
"2504",-156.01906,57.55965
"2505",-155.93582,57.569935
"2506",-155.88557,57.570705
